Accuracy,Recall,Precision,Train time
0.4,0.0,0.0,0.10076403617858887
0.65,0.5,0.7142857142857143,0.08716416358947754
0.6,0.2,1.0,0.09562420845031738
0.7,0.4,1.0,0.11026501655578613
0.45,0.5,0.45454545454545453,0.08594608306884766
0.85,0.7,1.0,0.10419988632202148
0.75,0.8,0.7272727272727273,0.1032710075378418
0.85,0.8,0.8888888888888888,0.10229086875915527
0.6,0.2,1.0,0.1066889762878418
0.5,0.1,0.5,0.09292984008789062
0.4,0.0,0.0,0.09606504440307617
0.65,0.4,0.8,0.08767080307006836
0.55,0.3,0.6,0.09039711952209473
0.85,0.8,0.8888888888888888,0.09924101829528809
0.5,0.6,0.5,0.08416509628295898
0.85,0.7,1.0,0.1044921875
0.85,1.0,0.7692307692307693,0.10158300399780273
0.85,0.7,1.0,0.09706997871398926
0.8,0.6,1.0,0.08646607398986816
0.5,0.0,0.0,0.08899188041687012
0.4,0.0,0.0,0.10872292518615723
0.65,0.4,0.8,0.08257007598876953
0.55,0.1,1.0,0.08724093437194824
1.0,1.0,1.0,0.11048698425292969
0.45,0.5,0.45454545454545453,0.08534812927246094
0.8,0.6,1.0,0.1048121452331543
0.8,0.9,0.75,0.14553308486938477
0.95,0.9,1.0,0.10809993743896484
0.65,0.3,1.0,0.18620610237121582
0.5,0.0,0.0,0.13178491592407227
0.35,0.0,0.0,0.0835869312286377
0.7,0.6,0.75,0.0814361572265625
0.55,0.3,0.6,0.09032201766967773
0.9,1.0,0.8333333333333334,0.09900999069213867
0.45,0.4,0.4444444444444444,0.08608198165893555
0.85,1.0,0.7692307692307693,0.10008883476257324
0.6,1.0,0.5555555555555556,0.0840449333190918
0.95,1.0,0.9090909090909091,0.08588504791259766
0.7,0.4,1.0,0.09432411193847656
0.55,0.2,0.6666666666666666,0.1001272201538086
0.35,0.0,0.0,0.09270095825195312
0.85,0.8,0.8888888888888888,0.0937650203704834
0.5,0.1,0.5,0.08831191062927246
0.8,0.8,0.8,0.10489010810852051
0.8,1.0,0.7142857142857143,0.08943009376525879
0.85,0.7,1.0,0.09864592552185059
0.85,1.0,0.7692307692307693,0.10120916366577148
0.85,0.7,1.0,0.10517406463623047
0.6,0.2,1.0,0.10680699348449707
0.7,0.4,1.0,0.09581184387207031
0.35,0.0,0.0,0.09394502639770508
0.75,0.6,0.8571428571428571,0.0822601318359375
0.55,0.2,0.6666666666666666,0.0915060043334961
0.9,1.0,0.8333333333333334,0.08513188362121582
0.65,0.8,0.6153846153846154,0.08499598503112793
0.75,0.8,0.7272727272727273,0.09618282318115234
0.6,1.0,0.5555555555555556,0.08729696273803711
1.0,1.0,1.0,0.1032099723815918
0.65,0.4,0.8,0.08922886848449707
0.5,0.1,0.5,0.09867501258850098
0.35,0.0,0.0,0.08922505378723145
0.85,0.8,0.8888888888888888,0.09668684005737305
0.55,0.1,1.0,0.08290386199951172
0.95,0.9,1.0,0.10845494270324707
0.75,0.8,0.7272727272727273,0.11023497581481934
0.85,0.7,1.0,0.09787607192993164
0.85,1.0,0.7692307692307693,0.10200190544128418
0.85,0.8,0.8888888888888888,0.1002190113067627
0.6,0.2,1.0,0.10722112655639648
0.6,0.2,1.0,0.09325003623962402
0.4,0.0,0.0,0.10246992111206055
0.65,0.4,0.8,0.09753203392028809
0.5,0.3,0.5,0.09675884246826172
0.85,0.8,0.8888888888888888,0.0988161563873291
0.5,0.6,0.5,0.09029603004455566
0.85,1.0,0.7692307692307693,0.11060619354248047
0.75,1.0,0.6666666666666666,0.10651707649230957
0.85,0.7,1.0,0.09422707557678223
0.6,0.2,1.0,0.09021997451782227
0.7,0.5,0.8333333333333334,0.0955960750579834
