Accuracy,Recall,Precision,Train time
0.4,0.0,0.0,0.0437319278717041
0.9,0.9,0.9,0.0429379940032959
0.55,0.3,0.6,0.042279958724975586
0.9,0.8,1.0,0.042510032653808594
0.7,0.8,0.6666666666666666,0.04206681251525879
0.9,0.8,1.0,0.042719125747680664
0.75,0.9,0.6923076923076923,0.04244709014892578
0.95,0.9,1.0,0.04679584503173828
0.7,0.4,1.0,0.04892301559448242
0.75,0.5,1.0,0.042073965072631836
0.45,0.0,0.0,0.11898398399353027
0.85,0.9,0.8181818181818182,0.11461091041564941
0.45,0.3,0.42857142857142855,0.1078650951385498
0.6,0.2,1.0,0.10858297348022461
0.75,1.0,0.6666666666666666,0.1148691177368164
0.8,0.9,0.75,0.11499691009521484
0.55,1.0,0.5263157894736842,0.10735201835632324
0.85,0.9,0.8181818181818182,0.1226968765258789
0.65,0.4,0.8,0.11658000946044922
0.9,1.0,0.8333333333333334,0.10666298866271973
0.35,0.0,0.0,0.04113292694091797
0.95,0.9,1.0,0.041915178298950195
0.55,0.1,1.0,0.040390968322753906
0.85,0.7,1.0,0.040370941162109375
0.75,0.8,0.7272727272727273,0.04537200927734375
0.9,0.8,1.0,0.04259014129638672
0.95,1.0,0.9090909090909091,0.049180030822753906
0.9,0.8,1.0,0.04019021987915039
0.7,0.4,1.0,0.05074596405029297
0.95,1.0,0.9090909090909091,0.0436251163482666
0.35,0.0,0.0,0.09886598587036133
0.75,0.6,0.8571428571428571,0.09620809555053711
0.6,0.2,1.0,0.14352178573608398
0.6,0.3,0.75,0.10210394859313965
0.75,1.0,0.6666666666666666,0.10076904296875
0.75,0.9,0.6923076923076923,0.1264050006866455
0.75,1.0,0.6666666666666666,0.09117698669433594
0.9,1.0,0.8333333333333334,0.14564895629882812
0.6,0.6,0.6,0.1260509490966797
0.9,1.0,0.8333333333333334,0.10739398002624512
0.35,0.0,0.0,0.03785300254821777
0.95,0.9,1.0,0.043309926986694336
0.55,0.2,0.6666666666666666,0.037483930587768555
0.9,0.8,1.0,0.03800392150878906
0.65,0.8,0.6153846153846154,0.03610682487487793
0.9,0.8,1.0,0.03960895538330078
0.75,0.9,0.6923076923076923,0.03736281394958496
0.95,0.9,1.0,0.03677701950073242
0.7,0.4,1.0,0.03690195083618164
0.9,0.9,0.9,0.03567004203796387
0.35,0.0,0.0,0.10696196556091309
0.75,0.6,0.8571428571428571,0.10031008720397949
0.6,0.2,1.0,0.11237001419067383
0.6,0.3,0.75,0.1035928726196289
0.75,1.0,0.6666666666666666,0.10134601593017578
0.75,0.9,0.6923076923076923,0.11401796340942383
0.75,1.0,0.6666666666666666,0.09584307670593262
0.9,1.0,0.8333333333333334,0.13423919677734375
0.6,0.6,0.6,0.11291694641113281
0.9,1.0,0.8333333333333334,0.09343194961547852
0.35,0.0,0.0,0.0382990837097168
0.95,0.9,1.0,0.036340951919555664
0.55,0.2,0.6666666666666666,0.035353899002075195
0.9,0.8,1.0,0.03620505332946777
0.65,0.8,0.6153846153846154,0.03729605674743652
0.9,0.8,1.0,0.03632187843322754
0.75,0.9,0.6923076923076923,0.03740096092224121
0.95,0.9,1.0,0.03638291358947754
0.7,0.4,1.0,0.03581809997558594
0.9,0.9,0.9,0.03698110580444336
0.4,0.0,0.0,0.14122796058654785
0.75,0.5,1.0,0.12455582618713379
0.55,0.4,0.5714285714285714,0.12480783462524414
0.6,0.3,0.75,0.13386797904968262
0.7,1.0,0.625,0.12961196899414062
0.75,0.9,0.6923076923076923,0.1397550106048584
0.65,1.0,0.5882352941176471,0.10992288589477539
0.9,1.0,0.8333333333333334,0.14750885963439941
0.7,0.6,0.75,0.14239788055419922
0.8,0.9,0.75,0.13243389129638672
