,Accuracy,Recall,Precision,Train time
tokenTfidf,0.45,0.0,0.0,14.62020993232727
tokenTfidf,0.9,1.0,0.8333333333333334,14.806880950927734
tokenTfidf,0.5,0.3,0.5,15.316713094711304
tokenTfidf,0.7,0.6,0.75,15.02848196029663
tokenTfidf,0.65,1.0,0.5882352941176471,14.82228398323059
tokenTfidf,0.85,0.9,0.8181818181818182,14.594435930252075
tokenTfidf,0.75,0.9,0.6923076923076923,15.454256057739258
tokenTfidf,0.85,0.8,0.8888888888888888,14.83150315284729
tokenTfidf,0.75,0.5,1.0,14.537729024887085
tokenTfidf,0.65,1.0,0.5882352941176471,14.767169952392578
stopwords,0.45,0.0,0.0,3.919869899749756
stopwords,0.95,0.9,1.0,5.671523809432983
stopwords,0.45,0.1,0.3333333333333333,5.849977970123291
stopwords,0.75,0.5,1.0,6.728003025054932
stopwords,0.7,0.8,0.6666666666666666,5.162049055099487
stopwords,0.8,0.6,1.0,6.5825159549713135
stopwords,0.95,0.9,1.0,6.228331804275513
stopwords,0.9,0.8,1.0,5.778711795806885
stopwords,0.7,0.4,1.0,5.75226902961731
stopwords,0.65,1.0,0.5882352941176471,6.560017108917236
stopwordsTfidf,0.45,0.0,0.0,14.227238178253174
stopwordsTfidf,0.9,1.0,0.8333333333333334,14.49214482307434
stopwordsTfidf,0.5,0.3,0.5,18.371973037719727
stopwordsTfidf,0.7,0.6,0.75,14.981165885925293
stopwordsTfidf,0.6,1.0,0.5555555555555556,15.02599310874939
stopwordsTfidf,0.9,0.9,0.9,26.54773998260498
stopwordsTfidf,0.8,0.9,0.75,617.145751953125
stopwordsTfidf,0.8,0.8,0.8,26.21405601501465
stopwordsTfidf,0.75,0.5,1.0,27.620487928390503
stopwordsTfidf,0.65,1.0,0.5882352941176471,21.330260038375854
stemming,0.4,0.0,0.0,3.719254970550537
stemming,0.95,0.9,1.0,6.54721999168396
stemming,0.6,0.3,0.75,6.539513111114502
stemming,0.7,0.5,0.8333333333333334,7.64957594871521
stemming,0.75,1.0,0.6666666666666666,5.6888909339904785
stemming,0.85,0.8,0.8888888888888888,9.993010997772217
stemming,0.9,0.9,0.9,9.355726957321167
stemming,0.65,1.0,0.5882352941176471,0.7610321044921875
stemming,0.7,0.4,1.0,12.516030073165894
stemming,0.85,1.0,0.7692307692307693,8.168590068817139
stemmingTfidf,0.35,0.0,0.0,16.595134019851685
stemmingTfidf,0.85,0.9,0.8181818181818182,15.604384899139404
stemmingTfidf,0.5,0.4,0.5,14.389202117919922
stemmingTfidf,0.7,0.6,0.75,17.56480312347412
stemmingTfidf,0.65,0.9,0.6,18.08799910545349
stemmingTfidf,0.85,0.8,0.8888888888888888,17.51723885536194
stemmingTfidf,0.85,0.9,0.8181818181818182,15.7347571849823
stemmingTfidf,0.9,1.0,0.8333333333333334,14.448601007461548
stemmingTfidf,0.75,0.5,1.0,22.184595823287964
stemmingTfidf,0.65,1.0,0.5882352941176471,19.651283025741577
stopNstem,0.4,0.0,0.0,5.17116379737854
stopNstem,0.95,0.9,1.0,8.818400859832764
stopNstem,0.65,0.3,1.0,9.4792799949646
stopNstem,0.7,0.5,0.8333333333333334,9.188170909881592
stopNstem,0.75,1.0,0.6666666666666666,10.662760972976685
stopNstem,0.9,0.9,0.9,8.459559917449951
stopNstem,0.9,0.9,0.9,7.569831848144531
stopNstem,0.95,1.0,0.9090909090909091,4.639592170715332
stopNstem,0.85,1.0,0.7692307692307693,0.6448261737823486
stopNstem,0.65,1.0,0.5882352941176471,5.898983001708984
info_gain,0.5,0.0,0.0,1.3399419784545898
info_gain,0.7,0.4,1.0,1.9935941696166992
info_gain,0.6,0.2,1.0,2.6650359630584717
info_gain,0.6,0.2,1.0,2.325608015060425
info_gain,0.7,1.0,0.625,2.045714855194092
info_gain,0.85,0.9,0.8181818181818182,2.1428990364074707
info_gain,1.0,1.0,1.0,2.702031135559082
info_gain,0.9,0.8,1.0,1.880932092666626
info_gain,0.8,1.0,0.7142857142857143,1.7678909301757812
info_gain,0.5,0.0,0.0,1.8177828788757324
stopNstemTfidf,0.4,0.0,0.0,13.93293309211731
stopNstemTfidf,0.85,0.9,0.8181818181818182,21.578540802001953
stopNstemTfidf,0.55,0.4,0.5714285714285714,23.335249185562134
stopNstemTfidf,0.7,0.6,0.75,15.666589975357056
stopNstemTfidf,0.6,0.8,0.5714285714285714,16.721312999725342
stopNstemTfidf,0.85,0.8,0.8888888888888888,16.256876945495605
stopNstemTfidf,0.85,0.9,0.8181818181818182,22.338087797164917
stopNstemTfidf,0.95,1.0,0.9090909090909091,23.833482027053833
stopNstemTfidf,0.75,0.5,1.0,23.43336820602417
stopNstemTfidf,0.7,1.0,0.625,16.837154865264893
token,0.5,0.0,0.0,5.791606903076172
token,0.95,0.9,1.0,7.531517028808594
token,0.55,0.1,1.0,8.005631923675537
token,0.75,0.6,0.8571428571428571,9.713100910186768
token,0.75,1.0,0.6666666666666666,6.883749008178711
token,0.95,0.9,1.0,9.599197149276733
token,0.9,0.9,0.9,7.776713132858276
token,0.95,0.9,1.0,7.773599147796631
token,0.7,0.4,1.0,6.796210765838623
token,0.7,1.0,0.625,8.115448951721191
